onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.011	3	0.0	n/a	n/a	n/a	120	28	2	n/a
8.011	3	rep1	little pleasant	0.636	9	194	29	2	encoding
20.010	3	rep1	little pleasant	1.061	9	192	30	2	encoding
32.009	3	rep1	little unpleasant	1.295	9	193	31	2	encoding
44.007	3	rep1	little pleasant	1.264	9	191	32	2	encoding
56.006	3	rep1	little unpleasant	0.769	9	196	33	2	encoding
68.021	3	rep1	little pleasant	1.490	9	197	34	2	encoding
80.004	3	rep1	little pleasant	1.402	9	195	35	2	encoding
92.019	3	rep1	little pleasant	1.259	9	198	36	2	encoding
104.018	3	0.0	n/a	n/a	n/a	400	37	2	n/a
110.017	3	rep2	little pleasant	1.461	9	194	38	2	encoding
122.016	3	rep2	little pleasant	1.718	9	198	39	2	encoding
134.015	3	rep2	little pleasant	1.687	9	193	40	2	encoding
146.014	3	rep2	little pleasant	0.665	9	195	41	2	encoding
158.013	3	rep2	little pleasant	0.802	9	191	42	2	encoding
170.011	3	rep2	little unpleasant	1.347	9	192	43	2	encoding
182.010	3	rep2	little pleasant	1.053	9	196	44	2	encoding
194.026	3	rep2	little unpleasant	0.805	9	197	45	2	encoding
206.008	3	0.0	n/a	n/a	n/a	410	46	2	n/a
212.007	3	rep3	little pleasant	0.855	9	197	47	2	encoding
224.006	3	rep3	little pleasant	0.953	9	198	48	2	encoding
236.005	3	rep3	n/a	n/a	9	195	49	2	encoding
248.004	3	rep3	little pleasant	0.810	9	191	50	2	encoding
260.019	3	rep3	little pleasant	0.732	9	194	51	2	encoding
272.018	3	rep3	little pleasant	0.717	9	192	52	2	encoding
284.017	3	rep3	little unpleasant	1.469	9	193	53	2	encoding
296.015	3	rep3	little pleasant	0.919	9	196	54	2	encoding
